tabela_num;nivel_geo;localidade;sigla_uf;tipo_recorte;categoria_recorte;indicador;ano;valor;unidade;faixa;ranking_ano;total_ranking;ranking_publicacao;classificacao_publicacao
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Renda ajustado;2012;0.802;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM ajustado;2012;0.736;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Longevidade;2012;0.892;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Educação;2012;0.709;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Renda ajustado;2012;0.631;Índice;Médio;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM ajustado;2013;0.746;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Longevidade;2013;0.772;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Educação;2013;0.662;Índice;Médio;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Renda ajustado;2013;0.811;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM ajustado;2013;0.743;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Longevidade;2013;0.896;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Educação;2013;0.721;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Renda ajustado;2013;0.634;Índice;Médio;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM ajustado;2014;0.754;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Longevidade;2014;0.776;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Educação;2014;0.68;Índice;Médio;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Renda ajustado;2014;0.813;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM ajustado;2014;0.752;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Longevidade;2014;0.899;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Educação;2014;0.736;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Renda ajustado;2014;0.642;Índice;Médio;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM ajustado;2015;0.756;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Longevidade;2015;0.779;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Educação;2015;0.69;Índice;Médio;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Renda ajustado;2015;0.803;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM ajustado;2015;0.755;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Longevidade;2015;0.901;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Educação;2015;0.744;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Renda ajustado;2015;0.643;Índice;Médio;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM ajustado;2016;0.76;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Longevidade;2016;0.782;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Educação;2016;0.706;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Renda ajustado;2016;0.796;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM ajustado;2016;0.762;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Longevidade;2016;0.903;Índice;Muito alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Educação;2016;0.754;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Mulher;IDHM Renda ajustado;2016;0.65;Índice;Médio;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM ajustado;2017;0.763;Índice;Alto;;;;
2;Brasil;Brasil;BR;Sexo;Homem;IDHM Longevidade;2017;0.786;Índice;Alto;;;;
